排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
39,混沌武士,TV,26,2004-05-19,渡辺信一郎,小原信治、佐藤大、高木聖子、待田堂子、渡辺信一郎、中澤一登、信本敬子、杉良太,中井和哉、佐藤銀平、川澄綾子、石塚運昇、日髙のり子、渋谷茂、鶴ひろみ、三木眞一郎、大塚芳忠、前田愛、梁田清之、成田剣、立木文彦、紗ゆり、山口眞弓、佐々木誠二、かわのをとや、速水奨、飯塚昭三、大塚明夫、佐々木望、玉川砂記子、森久保祥太郎、山寺宏一、川村万梨阿、風間勇刀、AFRA、石原凡、豊口めぐみ、小杉十郎太、子安武人、難波圭一、菅生隆之、中田浩二、乃村健次,8.5,11219,https://lain.bgm.tv/r/400/pic/cover/l/c5/2f/254_PLvyV.jpg,https://bangumi.tv/subject/254
40,葬送的芙莉莲,TV,28,2023-09-29,斎藤圭一郎,鈴木智尋,種﨑敦美、李蝉妃、李昀晴、市ノ瀬加那、林沛笭、苏婉、小林千晃、清都ありさ、kinsen、張立昂、邱涵菲、岡本信彦、喬資淯、鱼冻、東地宏樹、王辰驊、蒋可、上田燿司、苏鑫、陳彥鈞、川井田夏海、中村悠一、林沛笭、陳彥鈞、刘飞、田中敦子、严丽祯、傅其慧、安元洋貴、程智超、孟慶府、竹達彩奈、小N、連思宇、咲野俊介、冷泉夜月、黃天佑、諏訪部順一、宋昱璁、刘照坤、石見舞菜香、連婉鈞、皛四白、大鈴功起、賈文安、子安武人、戴超行、蔣鐵城、和氣あず未、富贵、李珮嘉、鈴代紗弓、張乃文、谢莹、長谷川育美、傅其慧、王愫稣、小松昌平、杨超然、江志倫、斉藤次郎、许棕哲、陳彥鈞、花輪英司、刘垚、喬資淯、石上静香、林沛笭、王晓彤、谷山紀章、張乃文、张沛、王辰驊、伊藤かな恵、小敢、李昀晴、村井雄治、陳彥鈞、大白siro、伊瀬茉莉也、骆妍倩、魏晶琦、新垣樽助、吕书君、陳彥鈞、照井春佳、張乃文、小N、黒沢ともよ、李珮嘉、徐慧、高橋伸也、杨超然、喬資淯、白石兼斗、喬資淯、大白siro、宮内敦士、王衡、張立昂、上田麗奈、孙畅、錢欣郁、こばたけまさふみ、杨富禄、王辰驊、錢欣郁、坂泰斗、江志倫、小原好美、刘雯、邱涵菲、江口拓也、王辰驊、加瀬康之、喬資淯、平川大輔、宋国庆、喬資淯、手塚ヒロミチ、國府咲月、王辰驊、馮嘉德、内田夕夜、刘垚、鈕凱暘、中務貴幸、王辰驊、星野充昭、康殿宏、王衡、川田紳司、江志倫、こばたけまさふみ、陳彥鈞、松田カミリ、さとうあい、錢欣郁、園部啓一、陳彥鈞、宮澤正、王辰驊、内藤有海、連婉鈞、白石兼斗、陳彥鈞、白石兼斗、王辰驊、松本沙羅、林沛笭、久保田民絵、孙畅、馮嘉德、チョー、王辰驊、佐々健太、孟慶府、喜屋武和輝、陳彥鈞、佐藤はな、白石兼斗、喜屋武和輝、こばたけまさふみ、陳彥鈞、王辰驊、大井麻利衣、傅其慧、岡田幸子、劉如蘋、大井麻利衣、劉如蘋、いとうさとる、喬資淯、広瀬さや、連思宇、中島卓也、孟慶府、山口恵、陳彥鈞、岡井カツノリ、王辰驊、白石兼斗、最上嗣生、賈文安、河村梨恵、劉如蘋、真木駿一、王辰驊、こばたけまさふみ、河村梨恵、林沛笭、八百屋杏、小牧未侑、こばたけまさふみ、こばたけまさふみ、文月くん、林沛笭、田中貴子、張乃文、藤原聖侑、喜屋武和輝、片貝薫、白石兼斗,8.5,35705,https://lain.bgm.tv/r/400/pic/cover/l/13/c5/400602_ZI8Y9.jpg,https://bangumi.tv/subject/400602
41,奇巧计程车,TV,13,2021-04-05,木下麦,此元和津也,花江夏樹、飯田里穂、木村良平、山口勝平、三森すずこ、小泉萌香、村上まなつ、古川慎、昴生、亜生、ユースケ、津田篤宏、たかし、村上知子、浜田賢二、酒井広大、斉藤壮馬、METEOR、堀井茶渡、黒田崇矢、大塚芳忠、高杉真宙、鬼頭明里、高井佳佑、フェニックス、汐宮あまね、神楽千歌,8.5,21632,https://lain.bgm.tv/r/400/pic/cover/l/65/90/325285_4688X.jpg,https://bangumi.tv/subject/325285
42,哆啦A梦,TV,0,未知,善聡一郎、八鍬新之介、小倉宏文,早川正、高橋ナツコ、大野木寛、与口奈津江、岡部優子、富永淳一、藤本信行、水野宗徳、廣川浩二、相内美生、渡辺歩、小林英造、清水東、大野敏哉、井上テテ、大塩哲史、原島興子、千葉美鈴、楠葉宏三、田中智章、伊藤公志、八鍬新之介、鈴木洋介、福島直浩、佐藤大、岡野慎吾、高橋悠也、永野たかひろ、内海照子、諸橋隼人、志茂文彦、田村安彦、村山功、西中千晶、神沢ミホ、富永淳一、田中智章、水野宗徳、伊藤公志、関智一、三石琴乃、大倉俊輔、高橋敦史、島田満,水田わさび、陳美貞、大原めぐみ、劉凱寧、林筱玲、劉如蘋、伍凤春、かかずゆみ、林美秀、穆宣名、木村昴、宋克軍、梁興昌、関智一、李世揚、千秋、松本保典、三石琴乃、萩野志保子、阪口周平、大滝進矢、釘宮理恵、竹内都子、高山みなみ、菅原淳一、宝亀克寿、日野まり、村瀬迪与、桃森すもも、藍沢歩実、小澤亜李、青山吉能、佐倉綾音、まるたまり、飯田友子、髙橋ミナミ、加隈亜衣、原田ひとみ、岡本信彦、私市淳、広瀬正志、中村千絵、利根健太朗、ささきのぞみ、伊藤かな恵、千葉一伸、奈良徹、高戸靖広、福圓美里、野中藍、堀川仁、浅利遼太、久保田竜一、山下百合恵、櫻井トオル,8.5,6096,https://lain.bgm.tv/r/400/pic/cover/l/b4/4f/18692_Gilpl.jpg,https://bangumi.tv/subject/18692
43,剧场版 少女☆歌剧 Revue Starlight,剧场版,1,2021-06-04,古川知宏,樋口達人,小山百代、三森すずこ、富田麻帆、佐藤日向、岩田陽葵、小泉萌香、相羽あいな、生田輝、伊藤彩沙、津田健次郎、篠宮あすか、広瀬さや、名塚佳織,8.5,11106,https://lain.bgm.tv/r/400/pic/cover/l/1e/41/294135_cvCcW.jpg,https://bangumi.tv/subject/294135
44,机动战士Z高达,TV,50,1985-03-02,富野由悠季,大野木寛、富野由悠季、鈴木裕美子、川崎知子、丸尾みほ、平野靖士、遠藤明範,飛田展男、鈴置洋孝、池田秀一、劉錫華、松岡ミユキ、古谷徹、井上和彦、島田敏、榊原良子、岡本麻弥、小杉十郎太、難波圭一、森しん、柴本浩行、柴本浩行、塩屋浩三、勝生真沙子、坂本千夏、荘真由美、郷里大輔、池田勝、西村知道、水谷優子、大塚芳忠、菊池正美、森しん、キートン山田、戸谷公次、榊原良子、中村秀利、大林隆介、矢尾一樹、矢尾一樹、島津冴子、佐脇君枝、高島雅羅、石森達幸、藤井佳代子、鈴木清信、朱志屏、川村万梨阿、伊藤美紀、名取幸政、白石冬美、荘真由美、頓宮恭子、鵜飼るみ子、古川登志夫、井上瑤、藤堂貴也、花井康子、水谷優子、湯田真子、沢木郁也、荘真由美、小杉十郎太,8.5,5284,https://lain.bgm.tv/r/400/pic/cover/l/97/c8/9622_2P229.jpg,https://bangumi.tv/subject/9622
45,虫师 续章,TV,11,2014-04-04,長濵博史,長濵博史,中野裕斗、うえだゆうじ、小林愛、日笠陽子、京田尚子、岸尾だいすけ、土井美加,8.5,4806,https://lain.bgm.tv/r/400/pic/cover/l/a6/33/92705_P0yq4.jpg,https://bangumi.tv/subject/92705
46,机动战士高达 逆袭的夏亚,剧场版,1,1988-03-12,富野由悠季,富野由悠季,古谷徹、池田秀一、鈴置洋孝、森しん、川村万梨阿、佐々木望、山寺宏一、榊原良子、弥生みつき、安達忍、村松康雄、伊倉一恵、村山明、白石冬美、荘真由美,8.5,5120,https://lain.bgm.tv/r/400/pic/cover/l/33/80/4583_RvVeE.jpg,https://bangumi.tv/subject/4583
47,天空之城,剧场版,1,1986-08-02,宮崎駿,宮崎駿,よこざわけい子、許淑嬪、张雨濛、林美秀、田中真弓、万舒心、劉小芸、馮友薇、初井言榮、陳安瑩、姜瑰瑾、崔幗夫、寺田農、于正昇、卢力峰、康殿宏、永井一郎、森中人、陳宗岳、孫中台、糸博、孫中台、周寧、神山卓三、陳宗岳、李香生、傅晨阳、安原義人、孫中台、张占坤、李勇、亀山助清、周寧、锦鲤、于正昇、孫中台、常田富士男、胡立成、于正昇、李昊甲、鷲尾真知子、陳季霞、許淑嬪、TARAKO、雷碧文、西村知道、沈光平、古田信幸、大滝進矢、田中和実、関俊彦、大塚芳忠、菅原正志、峰恵研、林原めぐみ,8.5,15424,https://lain.bgm.tv/r/400/pic/cover/l/26/e3/298_WFVhX.jpg,https://bangumi.tv/subject/298
48,瑞克和莫蒂 第三季,TV,10,2017-04-01,Justin、Roiland、Dan、Harmon,Mike McMahan、Ryan Ridley、Tom Kauffman、Dan Guterman、Justin Roiland、Dan Harmon,Justin Roiland、Justin Roiland、Sarah Chalke、Chris Parnell、Spencer Grammer,8.5,5330,https://lain.bgm.tv/r/400/pic/cover/l/c0/a7/146457_G7nNG.jpg,https://bangumi.tv/subject/146457
49,日常,TV,26,2011-04-02,石原立也,花田十輝、西岡麻衣子、村元克彦、伊藤敦、石原立也、石立太一、あらゐけいいち,本多真梨子、相沢舞、富樫美鈴、古谷静佳、今野宏美、白石稔、堀川千華、川原慶久、山本和臣、平松広和、小林元子、吉崎亮太、廣坂愛、比上孝浩、玉置陽子、樋口結美、佐土原かおり、山口浩太、小菅真美、稲田徹、水原薫、チョー、中博史、長嶝高士、竹内良太、山本圭子、味里、本田愛美、皆口裕子、千葉繁、緒方恵美、池田昌子、立木文彦、こおろぎさとみ、愛河里花子、小原乃梨子、若本規夫、関智一、榊原良子、野沢雅子、堀江由衣、永井一郎、小山力也、TARAKO、中井和哉、よこざわけい子、桂玲子、柴田秀勝、白石冬美、銀河万丈、増岡弘、平野綾、小山茉美、島本須美、三ツ矢雄二,8.5,25361,https://lain.bgm.tv/r/400/pic/cover/l/0e/14/9912_vHEd6.jpg,https://bangumi.tv/subject/9912
50,吹响吧！上低音号 第二季,TV,13,2016-10-05,石原立也,花田十輝,黒沢ともよ、朝井彩加、豊田萌絵、安済知佳、寿美菜子、早見沙織、茅原実里、藤村鼓乃美、山岡ゆり、沼倉愛美、久川綾、種﨑敦美、東山奈央、中村悠一、桑島法子、田所あずさ、七緒はるひ、中博史、石谷春貴、津田健次郎、小堀幸、櫻井孝宏、渡辺久美子、日笠陽子、田所あずさ、平井祥恵、田所あずさ、相川奈都姫、小堀幸、千菅春香、中村太亮,8.5,17876,https://lain.bgm.tv/r/400/pic/cover/l/69/28/152091_Bg7Hc.jpg,https://bangumi.tv/subject/152091
51,猫的协奏曲,剧场版,1,1947-04-26,William、Hanna、Joseph、Barbera,威廉·汉纳,,8.5,1228,https://lain.bgm.tv/r/400/pic/cover/l/08/21/132373_6x532.jpg,https://bangumi.tv/subject/132373
52,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,剧场版,3,1998-03-07,摩砂雪、鶴巻和哉、庵野秀明,薩川昭夫、庵野秀明,,8.5,8648,https://lain.bgm.tv/r/400/pic/cover/l/f5/a0/39923_k7338.jpg,https://bangumi.tv/subject/39923
53,红辣椒,剧场版,1,2006-11-25,今敏,水上清資、今敏,林原めぐみ、林原めぐみ、堀勝之祐、古谷徹、大塚明夫、江守徹、山寺宏一、筒井康隆、今敏,8.5,13126,https://lain.bgm.tv/r/400/pic/cover/l/02/a3/841_P6wS5.jpg,https://bangumi.tv/subject/841
54,蜂蜜与四叶草II,TV,12,2006-06-29,長井龍雪,黒田洋介,本田貴子、神谷浩史、野島健児、工藤晴香、杉田智和、大原さやか、高橋美佳子、釘宮理恵、うえだゆうじ、藤原啓治、竹若拓磨、皆川純子、浜田賢二、小野涼子,8.5,4462,https://lain.bgm.tv/r/400/pic/cover/l/36/2e/848_RC9L8.jpg,https://bangumi.tv/subject/848
55,剧场版 空之境界 第五章 矛盾螺旋,剧场版,1,2008-08-16,平尾隆之,平松正樹,坂本真綾、鈴村健一、本田貴子、五十嵐裕美、柿原徹也、中田譲治、東地宏樹、藤村歩、遊佐浩二、山野井仁、伊藤美紀、佐藤雄大、松尾大亮、増田隆之、坂巻学、吉田聖子,8.4,12381,https://lain.bgm.tv/r/400/pic/cover/l/ff/49/1333_0Dn08.jpg,https://bangumi.tv/subject/1333
56,轻音少女 第二季,TV,26,2010-04-06,山田尚子,吉田玲子、花田十輝、村元克彦、横谷昌宏,豊崎愛生、林美秀、日笠陽子、錢欣郁、佐藤聡美、謝佼娟、寿美菜子、傅其慧、竹達彩奈、雷碧文、真田アサミ、龍顯蕙、藤東知夏、龍顯蕙、米澤円、傅其慧、永田依子、林美秀、伊藤実華、雷碧文、中村千絵、雷碧文、MAKO、山村響、長谷川瑜ら、永田依子、中村知子、中村知子、雷碧文、長谷川瑜ら、永田依子、永田依子、七沢心、傅其慧、陰山真寿美、伊藤実華、中村知子、永田依子、伊藤実華、佐藤有世、佐藤有世、北村妙子、七沢心、ふじたまみ、MAKO、陰山真寿美、片岡あづさ、長谷川瑜ら、平野妹、中村知子、金谷ヒデユキ、何志威、永木貴依子、坂本くんぺい、桑門そら、寺島拓篤、児玉明日美、雷碧文、千々松幸子、錢欣郁、浅川悠、傅其慧、長谷川瑜ら、小池謙一、江口拓也、長谷川瑜ら、大野佐和、越田直樹、何志威、谷内健、何志威,8.4,24784,https://lain.bgm.tv/r/400/pic/cover/l/73/f1/3774_hs9Fr.jpg,https://bangumi.tv/subject/3774
57,福音战士新剧场版：破,剧场版,1,2009-06-27,摩砂雪、鶴巻和哉,庵野秀明,緒方恵美、蔣鐵城、林原めぐみ、連思宇、坂本真綾、穆宣名、宮村優子、李昀晴、三石琴乃、錢欣郁、山口由里子、長沢美樹、石田彰、賈文安、林原めぐみ、山寺宏一、清川元夢、岩永哲哉、岩男潤子、優希比呂、子安武人、康秋樂、立木文彦、夏治世、関智一、麦人、林原めぐみ、林原めぐみ,8.4,17976,https://lain.bgm.tv/r/400/pic/cover/l/6f/ab/3302_rEfZV.jpg,https://bangumi.tv/subject/3302
58,猎人,TV,62,1999-10-16,古橋一浩,菅良幸、山口亮太、十川誠志、岸間信明,竹内順子、三橋加奈子、甲斐田ゆき、郷田ほづみ、永野善一、于正昇、高橋広樹、小和田貢平、岸祐二、木村亜希子、東地宏樹、高乃麗、雪絵玲那、徳永悦子、永野善一、竹本英史、上別府仁資、松本ヨシロウ、日比野朱里、高橋啓士、高乃麗、于正昇、外波山文明、モリノリ久、赤井田良彦、杉野田ぬき、木内秀信、小谷伸子、遠藤章史、小山剛志、環有希、天神有海、竹本英史、木内レイコ、赤星昇一郎、松山鷹志、前川優子、石塚堅、雪絵玲那、宮澤正、石井康嗣、天神有海、菊池正美、赤井田良彦、永野善一、小和田貢平、岸祐二、並木のり子、TARAKO、杉野田ぬき、前川優子、豊後敦子、日比野朱里、竹本英史、高戸靖広、松山鷹志、金子幸伸、松本ヨシロウ、井関佳子、天神有海、岸祐二、冨樫義博、平光琢也、水谷ケイコ、西松和彦、モリノリ久、上別府仁資、石川大介、加勢田進、永野善一、天神有海、前田剛、水谷ケイコ、橘健治、松山鷹志、飯田かおり、竹本英史、石川正明、AKIKO、道脇広行、中野健治、竹本英史、モリノリ久、田邉真悟、永野善一、永野善一、モリノリ久、並木のり子、前川優子、甲斐田ゆき、松山鷹志、永吉ユカ、松山鷹志、小山剛志、矢尾一樹、大田詩織、木内秀信、モリノリ久、石川正明、西松和彦、小和田貢平、小和田貢平、小山剛志、堀圭一郎、高橋あきお、内藤玲、上別府仁資、鈴木淳、山野井仁、金子幸伸、いずみ尚、西松和彦、清水みな、高橋広樹,8.4,5780,https://lain.bgm.tv/r/400/pic/cover/l/a5/88/1704_kwXKE.jpg,https://bangumi.tv/subject/1704
